Unnamed: 0,Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg
273,U T Khawaja,RPS,6,127,21.17,0,
274,K Khejroliya,"RCB, KKR",7,0,,5,43.4
275,M  Khote,MIN,4,24,12.0,2,25.5
276,R S Kishore,GTI,5,0,,6,20.17
277,H Klaasen,"RRO, RCB, SUN",19,514,36.71,0,
278,M Klinger,KTK,4,73,18.25,0,
279,T S Kohli,"RRO, KXI",4,11,3.67,0,
280,V Kohli,RCB,237,7263,37.25,4,92.0
281,S C Kuggeleijn,CSK,2,0,,2,35.5
282,K M D N Kulasekara,CSK,6,5,,5,24.0
283,Kuldeep Yadav,"KKR, DDV",73,136,15.11,71,28.39
284,D S Kulkarni,"MIN, RRO, GUJ",92,104,11.56,86,28.77
285,B Kumar,"PWI, SUN",160,283,8.84,170,25.86
286,M Kumar,DDV,10,7,,7,46.57
287,P Kumar,"RCB, KXI, MIN, SUN, GUJ",119,340,8.95,90,36.12
288,Kumar Kartikeya,MIN,12,9,4.5,10,32.9
289,A Kumble,RCB,42,35,11.67,45,23.51
290,S D Lad,MIN,1,15,15.0,0,
291,S Ladda,"DDV, KKR, GUJ",9,0,0.0,5,44.8
292,Lalit Yadav,DDV,25,295,21.07,10,36.9
293,S Lamichhane,DDV,9,0,0.0,13,22.46
294,C K Langeveldt,"KKR, RCB",7,8,4.0,13,14.38
295,B Laughlin,"CSK, RRO",9,5,2.5,10,28.2
296,V V S Laxman,"DCH, KTK",20,282,15.67,0,
297,B Lee,"KXI, KKR",38,124,12.4,25,43.8
298,D S Lehmann,RRO,2,18,9.0,0,
299,R E Levi,MIN,6,83,13.83,0,
300,E Lewis,"MIN, RRO, LSG",27,654,27.25,0,
301,J B Little,GTI,10,0,,7,42.0
302,Litton Das,KKR,1,4,4.0,0,
303,L S Livingstone,"RRO, KXI",32,828,29.57,8,38.63
304,M K Lomror,"RRO, RCB",30,402,19.14,1,109.0
305,M J Lumb,"RRO, DCH",12,278,23.17,0,
306,C A Lynn,"DCH, KKR, MIN",42,1329,34.08,0,
307,C  Madan,MIN,1,15,15.0,0,
308,N J Maddinson,RCB,3,20,6.67,0,
309,A Madhwal,MIN,8,0,,14,15.64
310,S S B Magala,CSK,2,0,,1,51.0
311,M F Maharoof,DDV,20,177,17.7,27,19.26
312,V Y  Mahesh,"DDV, CSK",18,15,7.5,21,23.76
313,A P  Majumdar,PWI,4,87,21.75,0,
314,D J Malan,KXI,1,26,26.0,0,
315,I  Malhotra,DCH,1,7,,0,
316,V S  Malik,"KXI, RRO",13,7,7.0,6,43.5
317,S L Malinga,MIN,122,88,5.5,170,19.85
318,Mandeep Singh,"KKR, KXI, RCB, DDV",111,1706,20.8,0,
319,M  Manhas,"DDV, PWI, CSK",55,514,22.35,0,
320,P N Mankad,"KXI, LSG",6,97,32.33,0,
321,A Manohar,GTI,17,222,18.5,0,
322,M Markande,"MIN, RRO, SUN",30,48,16.0,29,27.93
323,A K Markram,"KXI, SUN",33,775,32.29,2,78.5
324,M R Marsh,"DCH, PWI, RPS, SUN, DDV",38,605,20.17,36,19.22
325,S E Marsh,KXI,71,2477,39.95,0,
326,D R Martyn,RRO,1,19,19.0,0,
327,A D Mascarenhas,"RRO, KXI",13,79,8.78,19,18.74
328,Mashrafe Mortaza,KKR,1,2,,0,
329,A D Mathews,"KKR, PWI, DDV",49,724,23.35,27,39.96
330,G J Maxwell,"DDV, MIN, KXI, RCB",124,2719,26.4,31,37.87
331,K R Mayers,LSG,13,379,29.15,0,
332,M J McClenaghan,MIN,56,91,7.0,71,25.39
333,O C McCoy,RRO,8,8,8.0,11,22.73
334,B B McCullum,"KKR, KTK, CSK, GUJ, RCB",109,2880,27.69,0,
