Unnamed: 0,balls_per_over,city,dates,match_referees,reserve_umpires,tv_umpires,umpires,winner,player_of_match,toss_decision,toss_winner,venue,team_a,team_b,target_overs,target_runs
88,6,Pune,2018-04-30,V Narayan Kutty,HAS Khalid,CK Nandan,"AY Dandekar, C Shamshuddin",Chennai Super Kings,SR Watson,field,Delhi Daredevils,Maharashtra Cricket Association Stadium,Chennai Super Kings,Delhi Daredevils,20.0,212
89,6,Bengaluru,2018-05-01,J Srinath,N Pandit,YC Barde,"M Erasmus, Nitin Menon",Royal Challengers Bangalore,TG Southee,field,Mumbai Indians,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,20.0,168
90,6,Delhi,2018-05-02,AJ Pycroft,GR Sadashiv Iyer,BNJ Oxenford,"CK Nandan, VK Sharma",Delhi Daredevils,RR Pant,field,Rajasthan Royals,Arun Jaitley Stadium,Delhi Daredevils,Rajasthan Royals,12.0,151
91,6,Kolkata,2018-05-03,V Narayan Kutty,R Pandit,AK Chaudhary,"A Deshmukh, HDPK Dharmasena",Kolkata Knight Riders,SP Narine,field,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,20.0,178
92,6,Indore,2018-05-04,M Nayyar,HAS Khalid,C Shamshuddin,"AY Dandekar, S Ravi",Mumbai Indians,SA Yadav,field,Mumbai Indians,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,20.0,175
93,6,Pune,2018-05-05,J Srinath,N Pandit,M Erasmus,"Nitin Menon, YC Barde",Chennai Super Kings,RA Jadeja,field,Chennai Super Kings,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Chennai Super Kings,20.0,128
94,6,Hyderabad,2018-05-05,AJ Pycroft,GR Sadashiv Iyer,VK Sharma,"BNJ Oxenford, CK Nandan",Sunrisers Hyderabad,Rashid Khan,bat,Delhi Daredevils,Rajiv Gandhi International Stadium,Delhi Daredevils,Sunrisers Hyderabad,20.0,164
95,6,Mumbai,2018-05-06,V Narayan Kutty,R Pandit,AK Chaudhary,"A Deshmukh, HDPK Dharmasena",Mumbai Indians,HH Pandya,field,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,20.0,182
96,6,Indore,2018-05-06,M Nayyar,HAS Khalid,AY Dandekar,"C Shamshuddin, S Ravi",Kings XI Punjab,Mujeeb Ur Rahman,field,Kings XI Punjab,Holkar Cricket Stadium,Rajasthan Royals,Kings XI Punjab,20.0,153
97,6,Hyderabad,2018-05-07,AJ Pycroft,GR Sadashiv Iyer,CK Nandan,"BNJ Oxenford, VK Sharma",Sunrisers Hyderabad,KS Williamson,field,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,20.0,147
